Time_s,Net_Produce_MW
1208700,-2.437966
1209600,-3.289265
1210500,-3.295186
1211400,-3.294779
1212300,-3.306316
1213200,-3.041259
1214100,-3.046733
1215000,-3.046357
1215900,-3.057025
1216800,-3.184283
1217700,-3.190014
1218600,-3.189621
1219500,-3.20079
1220400,-3.184688
1221300,-3.19042
1222200,-3.190026
1223100,-3.201197
1224000,-3.194388
1224900,-3.200138
1225800,-3.199742
1226700,-3.210947
1227600,-3.861547
1228500,-3.872652
1229400,-1.410696
1230300,-1.432334
1231200,-17.261674
1232100,-17.306045
1233000,-14.519376
1233900,-14.605841
1234800,-44.792595
1235700,-41.939259
1236600,-41.93246
1237500,-38.999372
1238400,-44.359029
1239300,-41.163664
1240200,-41.156167
1241100,-41.368766
1242000,-36.200947
1242900,-36.307586
1243800,-36.300259
1244700,-32.831573
1245600,-14.850993
1246500,-11.05587
1247400,-11.050728
1248300,-7.128178
1249200,3.488654
1250100,7.704293
1251000,12.188229
1251900,12.078898
1252800,22.91784
1253700,22.872507
1254600,27.787259
1255500,27.698918
1256400,26.906571
1257300,21.94794
1258200,21.951169
1259100,17.166212
1260000,13.797145
1260900,9.480163
1261800,5.414906
1262700,1.4568
1263600,-7.139855
1264500,-7.194184
1265400,-7.190451
1266300,-7.296323
1267200,-18.960673
1268100,-15.359785
1269000,-11.48464
1269900,-11.631975
1270800,-19.118061
1271700,-19.214857
1272600,-19.208206
1273500,-19.396834
1274400,-23.748092
1275300,-23.853223
1276200,-23.845999
1277100,-24.050868
1278000,-17.51862
1278900,-21.680904
1279800,-21.674451
1280700,-21.857468
1281600,-1.459498
1282500,-5.387136
1283400,-5.383172
1284300,-9.172083
1285200,3.84957
1286100,3.815022
1287000,0.329397999999998
1287900,0.262073999999998
1288800,13.41574
1289700,13.40469
1290600,13.405449
1291500,13.383915
1292400,16.348437
1293300,16.342666
1294200,16.343063
1295100,16.331816
1296000,12.950285
1296900,9.818457
1297800,9.818865
1298700,6.855016
1299600,7.120941
1300500,7.115449
1301400,4.332207
1302300,4.321504
1303200,1.573905
1304100,1.568154
1305000,1.568549
1305900,1.557343
1306800,1.573498
1307700,-0.893446
1308600,-0.893051
1309500,-0.904258
1310400,-0.897426
1311300,-0.903195
1312200,-0.902799
1313100,-0.91404
1314000,-3.881743
1314900,-3.892884
1315800,-1.430925
1316700,-1.452635
1317600,-19.962299
1318500,-20.006814
1319400,-17.383831
1320300,-17.470579
1321200,-47.756157
1322100,-47.855418
1323000,-45.064977
1323900,-45.258408
1324800,-47.683339
1325700,-44.666905
1326600,-41.354921
1327500,-38.080218
1328400,-28.848454
1329300,-28.955442
1330200,-24.879725
1331100,-20.81647
1332000,1.703056
1332900,1.627984
1333800,1.633143
1334700,6.180229
1335600,16.831817
1336500,16.775529
1337400,16.779397
1338300,16.669708
1339200,18.142011
1340100,18.096529
1341000,18.099655
1341900,13.530943
1342800,12.736003
1343700,4.348745
1344600,0.482034000000002
1345500,-6.774336
1346400,-8.964147
1347300,-15.087694
1348200,-20.48812
1349100,-25.345177
1350000,-30.281446
1350900,-30.335953
1351800,-30.332207
1352700,-28.131006
1353600,-37.37235
1354500,-34.828279
1355400,-32.039447
1356300,-29.234991
1357200,-37.701381
1358100,-34.494032
1359000,-30.999361
1359900,-31.188606
1360800,-31.877615
1361700,-28.11314
1362600,-24.037526
1363500,-15.491241
1364400,-4.24423
1365300,-4.338455
1366200,0.579656999999997
1367100,5.530896
1368000,25.995644
1368900,31.300801
1369800,31.304778
1370700,31.191993
1371600,44.256277
1372500,44.221616
1373400,49.820172
1374300,49.752628
1375200,62.949356
1376100,68.772544
1377000,74.85064
1377900,74.829035
1378800,84.128618
1379700,84.122827
1380600,84.123225
1381500,84.111941
1382400,104.642163
1383300,112.003415
1384200,119.643677
1385100,127.550041
1386000,144.49777
1386900,127.803928
1387800,119.886648
1388700,112.236349
1389600,104.744842
1390500,90.803778
1391400,77.900471
1392300,60.381764
1393200,49.899623
1394100,40.289
1395000,31.53756
1395900,23.588318
1396800,16.430487
1397700,16.424863
1398600,13.120786
1399500,9.983939
1400400,7.090827
1401300,4.127693
1402200,4.12844
1403100,4.107276
1404000,-13.937164
1404900,-13.980561
1405800,-11.025306
1406700,-7.983986
1407600,-37.508362
1408500,-30.812667
1409400,-23.259574
1410300,-19.379777
1411200,-15.870005
1412100,-6.371692
1413000,4.13353
1413900,15.356045
1414800,29.401695
1415700,29.297396
